year,month,day,hour,minute,second,latitude,longitude,depth,magnitude
2012,8,20,18,41,40,-21.876,-68.252,120.6,4.1
2012,8,19,0,17,58,-20.381,-69.427,79.7,4
2012,8,10,11,28,34,-21.09,-68.889,110.9,4
2012,8,7,12,28,38,-21.32,-69.855,48.1,4.1
2012,8,4,20,35,8,-20.644,-68.929,108.1,4.6
2012,7,30,1,47,55,-21.494,-68.7,125.4,4.3
2012,7,29,14,6,1,-18.623,-69.49,110.8,4.7
2012,7,28,11,48,6,-18.196,-69.389,129.6,4.6
2012,7,18,18,24,8,-20.693,-70.365,10.9,5.1
2012,7,17,2,35,35,-20.242,-69.142,94,4.6
2012,7,8,9,12,20,-20.508,-70.473,35.5,4.4
2012,7,1,17,44,58,-20.836,-71.322,32.6,4.7
2012,6,26,1,21,41,-22,-68.679,119.6,4.1
2012,6,21,16,22,46,-20.469,-69.061,95.1,4.6
2012,6,15,1,3,57,-21.915,-68.658,123.8,3.9
2012,6,14,11,41,52,-21.136,-68.404,112,4.3
2012,6,10,19,25,52,-20.256,-69.185,89.2,4.3
2012,6,5,22,38,33,-21.111,-68.253,117,4.1
2012,6,3,11,43,44,-21.399,-68.518,132.8,4.5
2012,6,3,11,39,23,-21.338,-68.026,101.4,5
2012,6,1,17,58,55,-21.168,-68.61,120.8,4.5
2012,5,27,22,51,35,-21.733,-68.615,124.8,5
2012,5,27,20,1,44,-21.733,-68.615,124.8,4.5
2012,5,23,16,14,49,-19.91,-69.949,66.3,4.3
2012,5,22,14,47,10,-21.398,-68.52,101.8,4.1
2012,5,20,6,44,36,-20.197,-69.159,96.3,4.4
2012,5,18,0,54,13,-21.328,-68.798,123.4,4
2012,5,16,5,11,26,-19.825,-69.108,97.1,4.2
2012,5,15,21,20,32,-18.18,-70.33,98,4.2
2012,5,7,3,2,25,-20.028,-69.345,85.9,4.2
2012,5,6,4,32,27,-20.492,-70.542,51.3,4
2012,5,5,13,18,12,-19.692,-70.211,51.3,4.4
2012,5,3,2,38,32,-21.095,-68.723,116.9,4.5
2012,4,29,6,22,25,-20.305,-69.164,101.8,4
2012,4,26,16,46,0,-21.769,-68.617,120.4,4.4
2012,4,22,4,8,34,-21.006,-68.213,125.4,4.4
2012,4,19,9,6,46,-20.133,-68.828,105,4.3
2012,4,7,16,40,24,-19.166,-70.257,18,4.2
2012,4,3,7,25,8,-19.638,-69.093,117,5.2
2012,3,30,18,36,24,-18.407,-71.367,34.8,4.2
2012,3,27,14,46,37,-19.534,-69.098,99.1,4.6
2012,3,24,11,46,23,-18.05,-69.741,165.4,4.5
2012,3,21,2,56,8,-19.968,-69.154,97,4.5
2012,3,18,3,49,42,-19.197,-69.357,108.2,4.1
2012,3,10,2,26,57,-19.738,-69.25,101,5.3
2012,3,9,20,7,36,-21.635,-68.23,114.7,4.7
2012,3,9,16,12,40,-19.075,-69.559,96.7,4.5
2012,3,7,20,13,49,-19.989,-70.309,48.4,4.7
