eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1928,8,15,17,15,43.0,,-62.5,-28.0,,,,620.0,,6.5,,
,,1928,8,31,5,14,34.0,,-37.0,8.0,,,,35.0,,5.5999999999999996,,
,,1928,9,14,8,2,2.0,,-45.5,22.5,,,,35.0,,5.5999999999999996,,
,,1928,9,21,13,27,5.0,,-70.5,-15.0,,,,250.0,,6.7999999999999998,,
,,1928,9,27,0,44,5.0,,-60.0,12.0,,,,35.0,,6.5,,
,,1928,10,17,15,19,35.0,,-54.0,-53.0,,,,35.0,,6.5,,
,,1928,11,20,20,35,7.0,,-70.5,-22.5,,,,35.0,,7.0999999999999996,,
,,1928,12,1,4,6,10.0,,-72.0,-35.0,,,,35.0,,8.0,,
,,1928,12,5,11,4,32.0,,-95.0,3.0,,,,35.0,,5.5999999999999996,,
,,1928,12,10,15,39,0.0,,-39.0,9.0,,,,35.0,,5.5999999999999996,,
,,1928,12,27,4,46,10.0,,-55.0,-61.0,,,,35.0,,6.2000000000000002,,
,,1929,1,17,11,45,39.0,,-64.5,10.5,,,,35.0,,6.9000000000000004,,
,,1929,1,19,3,17,54.0,,-81.5,10.0,,,,35.0,,6.0,,
,,1929,1,27,16,7,12.0,,-37.0,8.0,,,,35.0,,6.5,,
,,1929,2,22,20,41,46.0,,-42.0,11.0,,,,35.0,,7.2000000000000002,,
,,1929,3,28,20,17,57.0,,-27.5,-55.0,,,,35.0,,6.5,,
,,1929,5,25,11,59,38.0,,-75.5,-8.5,,,,150.0,,6.7999999999999998,,
,,1929,5,30,9,43,24.0,,-68.0,-35.0,,,,35.0,,6.7999999999999998,,
,,1929,6,27,12,47,5.0,,-29.5,-54.0,,,,35.0,,7.7999999999999998,,
,,1929,7,6,9,46,15.0,,-46.0,14.5,,,,35.0,,6.5,,
,,1929,7,27,12,53,12.0,,-40.0,9.0,,,,35.0,,5.5999999999999996,,
,,1929,8,15,19,56,21.0,,-83.5,5.0,,,,35.0,,6.5,,
,,1929,10,19,10,12,52.0,,-69.0,-23.0,,,,100.0,,7.5,,
,,1929,10,19,20,20,42.0,,-69.0,-23.0,,,,100.0,,6.0,,
,,1929,10,21,10,33,38.0,,-26.0,-59.0,,,,35.0,,6.0,,
,,1929,12,6,16,46,43.0,,-29.0,-53.5,,,,35.0,,6.7999999999999998,,
,,1929,12,6,20,21,9.0,,-30.0,-54.5,,,,35.0,,6.7999999999999998,,
,,1930,2,18,1,52,48.0,,-25.0,-60.0,,,,35.0,,6.5,,
,,1930,2,28,0,57,56.0,,-46.0,15.0,,,,35.0,,6.0,,
,,1930,3,8,3,45,30.0,,-78.75,9.75,,,,35.0,,6.2000000000000002,,
,,1930,3,30,8,26,10.0,,-27.5,-54.5,,,,35.0,,6.7999999999999998,,
,,1930,4,21,11,50,56.0,,-26.0,-56.5,,,,60.0,,6.7999999999999998,,
,,1930,5,29,8,30,54.0,,-74.5,7.0,,,,220.0,,6.0,,
,,1930,6,22,18,24,40.0,,-81.0,-44.0,,,,35.0,,6.0,,
,,1930,6,25,12,6,20.0,,-64.0,19.0,,,,35.0,,6.2000000000000002,,
,,1930,7,13,1,12,22.0,,-67.0,-56.0,,,,35.0,,6.2000000000000002,,
,,1930,8,4,5,4,31.0,,-70.5,-9.5,,,,650.0,,6.5,,
,,1930,8,18,9,53,41.0,,-27.0,-55.0,,,,50.0,,7.0999999999999996,,
,,1930,9,23,23,34,10.0,,-66.0,-26.0,,,,150.0,,6.5,,
